year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified,fb_ad_library_id
2020,OREGON,OR,41,92,72,US SENATE,statewide,gen,FALSE,JO RAE PERKINS,REPUBLICAN,FALSE,total,912814,2321249,FALSE,20210114,REPUBLICAN,688986264462040
2020,OREGON,OR,41,92,72,US SENATE,statewide,gen,FALSE,JEFF MERKLEY,DEMOCRAT,FALSE,total,1321047,2321249,FALSE,20210114,DEMOCRAT,496696933682736
2020,RHODE ISLAND,RI,44,15,5,US SENATE,statewide,gen,FALSE,JOHN F. REED,DEMOCRAT,FALSE,total,328574,494262,FALSE,20210114,DEMOCRAT,1411485062416786
2020,RHODE ISLAND,RI,44,15,5,US SENATE,statewide,gen,FALSE,ALLEN R. WATERS,REPUBLICAN,FALSE,total,164855,494262,FALSE,20210114,REPUBLICAN,1527563887565895
2020,SOUTH CAROLINA,SC,45,57,48,US SENATE,statewide,gen,FALSE,LINDSEY GRAHAM,REPUBLICAN,FALSE,total,1369137,2515104,FALSE,20210114,REPUBLICAN,165987503528599
2020,SOUTH CAROLINA,SC,45,57,48,US SENATE,statewide,gen,FALSE,JAIME HARRISON,DEMOCRAT,FALSE,total,1110828,2515104,FALSE,20210114,DEMOCRAT,328072970642479
2020,SOUTH DAKOTA,SD,46,45,37,US SENATE,statewide,gen,FALSE,MIKE ROUNDS,REPUBLICAN,FALSE,total,276232,420219,TRUE,20210114,REPUBLICAN,370185306396534
2020,SOUTH DAKOTA,SD,46,45,37,US SENATE,statewide,gen,FALSE,DAN AHLERS,DEMOCRAT,FALSE,total,143987,420219,TRUE,20210114,DEMOCRAT,122314407789282
2020,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,FALSE,BILL HAGERTY,REPUBLICAN,FALSE,total,1840926,2959761,FALSE,20210114,REPUBLICAN,656263988182462
2020,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,FALSE,MARQUITA BRADSHAW,DEMOCRAT,FALSE,total,1040691,2959761,FALSE,20210114,DEMOCRAT,105933777496784
2020,TEXAS,TX,48,74,49,US SENATE,statewide,gen,FALSE,JOHN CORNYN,REPUBLICAN,FALSE,total,5962983,11144040,FALSE,20210114,REPUBLICAN,355316521236121
2020,TEXAS,TX,48,74,49,US SENATE,statewide,gen,FALSE,"MARY ""MJ"" HEGAR",DEMOCRAT,FALSE,total,4888764,11144040,FALSE,20210114,DEMOCRAT,1925751504337881
2020,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,FALSE,MARK R. WARNER,DEMOCRAT,FALSE,total,2466500,4405087,FALSE,20210114,DEMOCRAT,181467702005600
2020,VIRGINIA,VA,51,54,40,US SENATE,statewide,gen,FALSE,DANIEL M. GADE,REPUBLICAN,FALSE,total,1934199,4405087,FALSE,20210114,REPUBLICAN,102988591071943
2020,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,FALSE,SHELLEY MOORE CAPITO,REPUBLICAN,FALSE,total,547454,778918,FALSE,20210114,REPUBLICAN,492934580740220
2020,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,FALSE,PAULA JEAN SWEARENGIN,DEMOCRAT,FALSE,total,210309,778918,FALSE,20210114,DEMOCRAT,785936231584382
