<https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 05 Jun 2020 17:55:01 GMT",
<http://web.archive.org/web/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20201118045644/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 04:56:44 GMT",
<http://web.archive.org/web/20201118045646/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 04:56:46 GMT",
<http://web.archive.org/web/20201118063437/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 06:34:37 GMT",
<http://web.archive.org/web/20201118124223/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 12:42:23 GMT",
<http://web.archive.org/web/20201119230614/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 19 Nov 2020 23:06:14 GMT",
<http://web.archive.org/web/20201120091105/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 20 Nov 2020 09:11:05 GMT",
<http://web.archive.org/web/20201121050639/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 05:06:39 GMT",
<http://web.archive.org/web/20201125114324/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 11:43:24 GMT",
<http://web.archive.org/web/20201204180717/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 04 Dec 2020 18:07:17 GMT",
<http://web.archive.org/web/20201212223003/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sat, 12 Dec 2020 22:30:03 GMT",
<http://web.archive.org/web/20210112075040/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 12 Jan 2021 07:50:40 GMT",
<http://web.archive.org/web/20210113172052/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 17:20:52 GMT",
<http://web.archive.org/web/20210114013127/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 14 Jan 2021 01:31:27 GMT",
<http://web.archive.org/web/20210114021456/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 14 Jan 2021 02:14:56 GMT",
<http://web.archive.org/web/20210117202909/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 20:29:09 GMT",
<http://web.archive.org/web/20210120010142/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 01:01:42 GMT",
<http://web.archive.org/web/20210125111314/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 11:13:14 GMT",
<http://web.archive.org/web/20210125225656/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 22:56:56 GMT",
<http://web.archive.org/web/20210128222222/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 28 Jan 2021 22:22:22 GMT",
<http://web.archive.org/web/20210128224547/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 28 Jan 2021 22:45:47 GMT",
<http://web.archive.org/web/20210128230309/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 28 Jan 2021 23:03:09 GMT",
<http://web.archive.org/web/20210128232600/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 28 Jan 2021 23:26:00 GMT",
<http://web.archive.org/web/20210129092909/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 29 Jan 2021 09:29:09 GMT",
<http://web.archive.org/web/20210131090143/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sun, 31 Jan 2021 09:01:43 GMT",
<http://web.archive.org/web/20210205002844/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 00:28:44 GMT",
<http://web.archive.org/web/20210205002847/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 00:28:47 GMT",
<http://web.archive.org/web/20210205002928/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 00:29:28 GMT",
<http://web.archive.org/web/20210205003339/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 00:33:39 GMT",
<http://web.archive.org/web/20210205005721/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 00:57:21 GMT",
<http://web.archive.org/web/20210205011616/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 01:16:16 GMT",
<http://web.archive.org/web/20210205014704/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 01:47:04 GMT",
<http://web.archive.org/web/20210225051049/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 05:10:49 GMT",
<http://web.archive.org/web/20210225053117/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 05:31:17 GMT",
<http://web.archive.org/web/20210225054629/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 05:46:29 GMT",
<http://web.archive.org/web/20210225062105/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 06:21:05 GMT",
<http://web.archive.org/web/20210228042320/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sun, 28 Feb 2021 04:23:20 GMT",
<http://web.archive.org/web/20210302021515/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 02:15:15 GMT",
<http://web.archive.org/web/20210416074347/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 07:43:47 GMT",
<http://web.archive.org/web/20210422184238/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:42:38 GMT",
<http://web.archive.org/web/20210509014741/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Sun, 09 May 2021 01:47:41 GMT",
<http://web.archive.org/web/20210518083730/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Tue, 18 May 2021 08:37:30 GMT",
<http://web.archive.org/web/20210520231219/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Thu, 20 May 2021 23:12:19 GMT",
<http://web.archive.org/web/20210521002448/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 21 May 2021 00:24:48 GMT",
<http://web.archive.org/web/20210721203740/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 21 Jul 2021 20:37:40 GMT",
<http://web.archive.org/web/20210721213829/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Wed, 21 Jul 2021 21:38:29 GMT",
<http://web.archive.org/web/20210813194630/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 13 Aug 2021 19:46:30 GMT",
<http://web.archive.org/web/20210813203111/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Fri, 13 Aug 2021 20:31:11 GMT",
<http://web.archive.org/web/20211213221235/https://secure.winred.com/marjorie-greene-for-congress/donate>; rel="memento"; datetime="Mon, 13 Dec 2021 22:12:35 GMT",
