<http://billylongforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.billylongforcongress.com/donate>; rel="self"; type="application/link-format"; from="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/https://www.billylongforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20140321040712/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 21 Mar 2014 04:07:12 GMT",
<http://web.archive.org/web/20140321040748/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 21 Mar 2014 04:07:48 GMT",
<http://web.archive.org/web/20140328000644/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 28 Mar 2014 00:06:44 GMT",
<http://web.archive.org/web/20140328000650/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 28 Mar 2014 00:06:50 GMT",
<http://web.archive.org/web/20140403235849/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 03 Apr 2014 23:58:49 GMT",
<http://web.archive.org/web/20140403235851/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 03 Apr 2014 23:58:51 GMT",
<http://web.archive.org/web/20140410235352/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 10 Apr 2014 23:53:52 GMT",
<http://web.archive.org/web/20140410235529/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 10 Apr 2014 23:55:29 GMT",
<http://web.archive.org/web/20140415060822/http://www.billylongforcongress.com:80/donate>; rel="memento"; datetime="Tue, 15 Apr 2014 06:08:22 GMT",
<http://web.archive.org/web/20140418000312/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 18 Apr 2014 00:03:12 GMT",
<http://web.archive.org/web/20140418000314/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 18 Apr 2014 00:03:14 GMT",
<http://web.archive.org/web/20140424234816/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 24 Apr 2014 23:48:16 GMT",
<http://web.archive.org/web/20140424234818/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 24 Apr 2014 23:48:18 GMT",
<http://web.archive.org/web/20140501234208/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 01 May 2014 23:42:08 GMT",
<http://web.archive.org/web/20140501234211/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 01 May 2014 23:42:11 GMT",
<http://web.archive.org/web/20140509014338/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 09 May 2014 01:43:38 GMT",
<http://web.archive.org/web/20140509014500/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 09 May 2014 01:45:00 GMT",
<http://web.archive.org/web/20140516024727/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 16 May 2014 02:47:27 GMT",
<http://web.archive.org/web/20140516024730/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 16 May 2014 02:47:30 GMT",
<http://web.archive.org/web/20140516072925/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 16 May 2014 07:29:25 GMT",
<http://web.archive.org/web/20140516072927/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 16 May 2014 07:29:27 GMT",
<http://web.archive.org/web/20140522234918/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 22 May 2014 23:49:18 GMT",
<http://web.archive.org/web/20140522234920/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 22 May 2014 23:49:20 GMT",
<http://web.archive.org/web/20140523050753/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 23 May 2014 05:07:53 GMT",
<http://web.archive.org/web/20140523050753/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 23 May 2014 05:07:53 GMT",
<http://web.archive.org/web/20140523050757/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 23 May 2014 05:07:57 GMT",
<http://web.archive.org/web/20140523050757/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 23 May 2014 05:07:57 GMT",
<http://web.archive.org/web/20140529234524/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 29 May 2014 23:45:24 GMT",
<http://web.archive.org/web/20140529234527/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 29 May 2014 23:45:27 GMT",
<http://web.archive.org/web/20140530025141/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 30 May 2014 02:51:41 GMT",
<http://web.archive.org/web/20140530025144/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 30 May 2014 02:51:44 GMT",
<http://web.archive.org/web/20140605235756/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 05 Jun 2014 23:57:56 GMT",
<http://web.archive.org/web/20140606000204/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 06 Jun 2014 00:02:04 GMT",
<http://web.archive.org/web/20140606095415/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 06 Jun 2014 09:54:15 GMT",
<http://web.archive.org/web/20140606102450/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 06 Jun 2014 10:24:50 GMT",
<http://web.archive.org/web/20140613000856/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 13 Jun 2014 00:08:56 GMT",
<http://web.archive.org/web/20140613000901/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 13 Jun 2014 00:09:01 GMT",
<http://web.archive.org/web/20140613055610/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 13 Jun 2014 05:56:10 GMT",
<http://web.archive.org/web/20140613055617/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 13 Jun 2014 05:56:17 GMT",
<http://web.archive.org/web/20140619234938/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 19 Jun 2014 23:49:38 GMT",
<http://web.archive.org/web/20140619234940/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 19 Jun 2014 23:49:40 GMT",
<http://web.archive.org/web/20140620043330/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 20 Jun 2014 04:33:30 GMT",
<http://web.archive.org/web/20140620043334/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 20 Jun 2014 04:33:34 GMT",
<http://web.archive.org/web/20140627024909/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 27 Jun 2014 02:49:09 GMT",
<http://web.archive.org/web/20140627025035/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 27 Jun 2014 02:50:35 GMT",
<http://web.archive.org/web/20140627064917/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 27 Jun 2014 06:49:17 GMT",
<http://web.archive.org/web/20140627064920/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 27 Jun 2014 06:49:20 GMT",
<http://web.archive.org/web/20140704004948/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 04 Jul 2014 00:49:48 GMT",
<http://web.archive.org/web/20140704004951/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 04 Jul 2014 00:49:51 GMT",
<http://web.archive.org/web/20140704043409/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 04 Jul 2014 04:34:09 GMT",
<http://web.archive.org/web/20140704043600/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 04 Jul 2014 04:36:00 GMT",
<http://web.archive.org/web/20140710234740/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 10 Jul 2014 23:47:40 GMT",
<http://web.archive.org/web/20140710234743/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 10 Jul 2014 23:47:43 GMT",
<http://web.archive.org/web/20140711025451/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 11 Jul 2014 02:54:51 GMT",
<http://web.archive.org/web/20140711025454/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 11 Jul 2014 02:54:54 GMT",
<http://web.archive.org/web/20140717235109/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 17 Jul 2014 23:51:09 GMT",
<http://web.archive.org/web/20140717235342/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 17 Jul 2014 23:53:42 GMT",
<http://web.archive.org/web/20140718023132/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 18 Jul 2014 02:31:32 GMT",
<http://web.archive.org/web/20140718023136/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 18 Jul 2014 02:31:36 GMT",
<http://web.archive.org/web/20140724234454/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 24 Jul 2014 23:44:54 GMT",
<http://web.archive.org/web/20140724234458/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 24 Jul 2014 23:44:58 GMT",
<http://web.archive.org/web/20140725024203/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 25 Jul 2014 02:42:03 GMT",
<http://web.archive.org/web/20140725024349/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 25 Jul 2014 02:43:49 GMT",
<http://web.archive.org/web/20140731235945/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 31 Jul 2014 23:59:45 GMT",
<http://web.archive.org/web/20140801000246/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 01 Aug 2014 00:02:46 GMT",
<http://web.archive.org/web/20140801024719/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 01 Aug 2014 02:47:19 GMT",
<http://web.archive.org/web/20140801024722/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 01 Aug 2014 02:47:22 GMT",
<http://web.archive.org/web/20140807233757/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 07 Aug 2014 23:37:57 GMT",
