<https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="self"; type="application/link-format"; from="Wed, 25 Mar 2020 10:21:20 GMT",
<http://web.archive.org/web/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="timegate",
<http://web.archive.org/web/20201127233027/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 27 Nov 2020 23:30:27 GMT",
<http://web.archive.org/web/20201212154901/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sat, 12 Dec 2020 15:49:01 GMT",
<http://web.archive.org/web/20210103102857/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sun, 03 Jan 2021 10:28:57 GMT",
<http://web.archive.org/web/20210114014449/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 14 Jan 2021 01:44:49 GMT",
<http://web.archive.org/web/20210120193329/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 20 Jan 2021 19:33:29 GMT",
<http://web.archive.org/web/20210120200830/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 20 Jan 2021 20:08:30 GMT",
<http://web.archive.org/web/20210128223507/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 28 Jan 2021 22:35:07 GMT",
<http://web.archive.org/web/20210205004651/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 05 Feb 2021 00:46:51 GMT",
<http://web.archive.org/web/20210225052159/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 25 Feb 2021 05:21:59 GMT",
<http://web.archive.org/web/20210311024652/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 11 Mar 2021 02:46:52 GMT",
<http://web.archive.org/web/20210313025515/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sat, 13 Mar 2021 02:55:15 GMT",
<http://web.archive.org/web/20210416005219/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:19 GMT",
<http://web.archive.org/web/20210506125517/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 06 May 2021 12:55:17 GMT",
<http://web.archive.org/web/20210520233411/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Thu, 20 May 2021 23:34:11 GMT",
<http://web.archive.org/web/20210709033515/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 09 Jul 2021 03:35:15 GMT",
<http://web.archive.org/web/20210721205602/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 21 Jul 2021 20:56:02 GMT",
<http://web.archive.org/web/20210813163954/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 13 Aug 2021 16:39:54 GMT",
<http://web.archive.org/web/20210813200014/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Fri, 13 Aug 2021 20:00:14 GMT",
<http://web.archive.org/web/20210905003750/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Sun, 05 Sep 2021 00:37:50 GMT",
<http://web.archive.org/web/20211213205416/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Mon, 13 Dec 2021 20:54:16 GMT",
<http://web.archive.org/web/20220216084811/https://secure.anedot.com/laura-loomer-for-congress-inc/highlightgeneral>; rel="memento"; datetime="Wed, 16 Feb 2022 08:48:11 GMT",
